stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
P-561,,Francisco Ramirez esq. Av. Coihueco,,-36.608639,-72.08715,,,,,
P-745,,Maipon esq. Plaza La Victoria,,-36.608605,-72.109075,,,,,
P-30,,Alcántara esq. Barcelona,,-36.592678,-72.06761,,,,,
P-321,,Barros Arana esq. Alberto Orrego Luco,,-36.634597,-72.101438,,,,,
P-200,,Av. Ecuador esq. Av. O'Higgins,,-36.598669,-72.105839,,,,,
P-246,,Av. Libertador Bernardo O'Higgins esq. Tegualda,,-36.619737,-72.120764,,,,,
P-46,,Anibal Pinto esq. Lautaro,,-36.627744,-72.093126,,,,,
P-581,,Gerona esq. La Escala,,-36.595354,-72.067505,,,,,
P-406,,Camino Nuevo esq. Crisolita,,-36.633723,-72.084977,,,,,
P-430,,Central Panificadores esq. Cerro Negro,,-36.614315,-72.077635,,,,,
P-372,,Camino A Las Mariposas esq. Km 7.7,,-36.643337,-71.978917,,,,,
P-655,,Lautaro esq. Los Araucanos,,-36.628502,-72.091138,,,,,
P-851,,Ruta N66 esq. Villa Iraira,,-36.613156,-72.180882,,,,,
P-759,,Mario Vergara esq. Pje. 4,,-36.610377,-72.087067,,,,,
P-253,,Av. Libertador O'Higgins esq. Prieto,,-36.615806,-72.114992,,,,,
P-855,,San Bartolomé esq. San Ignacio,,-36.635014,-72.089856,,,,,
P-523,,El Tejar esq. Pje. Ocho,,-36.618824,-72.123575,,,,,
P-769,,Nueva Sur esq. Pje. Victor Flores,,-36.629798,-72.102215,,,,,
P-797,,Pueblo Seco esq. Los Ángeles,,-36.630702,-72.07524,,,,,
P-777,,Panamericana Sur esq. Los Tilos,,-36.532964,-72.077712,,,,,
P-149,,Av. Bernardo O Higgins esq. Unimarc Chillan Viejo,,-36.623057,-72.126797,,,,,
P-394,,Camino a San Bernardo esq. Santa Catalina de Siena,,-36.60969,-72.06455,,,,,
P-803,,Real Audiencia esq. Dos Poniente,,-36.616206,-72.127827,,,,,
P-338,,Belén esq. Betel,,-36.636553,-72.087648,,,,,
P-342,,Belén esq. San Bartolomé,,-36.63589,-72.087032,,,,,
P-827,,Rosauro Acuña esq. Los Pellines,,-36.621043,-72.113581,,,,,
P-236,,Av. Libertad esq. Yerbas Buenas,,-36.608351,-72.093999,,,,,
P-689,,Los Cóndores esq. Cesfam,,-36.618255,-72.081068,,,,,
P-399,,Camino Las Mariposas esq. Los Montes,,-36.635323,-72.009353,,,,,
P-308,,Av. Vicente Mendez esq. Clinica Las Amapolas,,-36.601034,-72.089993,,,,,
P-4,,18 de septiembre esq. Cocharcas,,-36.612632,-72.106348,,,,,
P-623,,La Campiña esq. San Francisco Fernandez,,-36.605836,-72.063814,,,,,
P-251,,Av. Libertador O'Higgins esq. Diego de Almagro,,-36.591921,-72.103593,,,,,
P-16,,25 de Septiembre esq. Av. Baquedano,,-36.629178,-72.125593,,,,,
P-415,,Carlos Lozzier esq. Ángel Oyarzun,,-36.622224,-72.100238,,,,,
P-365,,Camino A Las Mariposas esq. Km 2.5,,-36.631868,-72.034282,,,,,
P-410,,Camino Parque Lantaño esq. Guabira Poniente,,-36.59198,-72.121304,,,,,
P-880,,Simón Bolivar esq. Tarapacá,,-36.607313,-72.123309,,,,,
P-494,,Del Rosario esq. Ángel Parra,,-36.629721,-72.133003,,,,,
P-205,,Av. Ecuador esq. Independencia,,-36.601443,-72.094606,,,,,
P-875,,Simón Bolívar esq. Bilbao,,-36.609024,-72.134213,,,,,
